name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,logloss,1.6698294198493318,47.02,0.2917
2_Default_LightGBM,LightGBM,logloss,0.6235696751807285,5.63,0.2773
3_Default_Xgboost,Xgboost,logloss,0.6113993928897693,421.02,0.285
4_Default_CatBoost,CatBoost,logloss,0.6162430405914406,55.2,0.3436
5_Default_NeuralNetwork,Neural Network,logloss,2.2350154533515663,8.64,0.3918
6_Default_RandomForest,Random Forest,logloss,0.6277997369046682,42.73,0.3675
11_LightGBM,LightGBM,logloss,0.6341609385967325,5.48,0.2782
7_Xgboost,Xgboost,logloss,0.6254572298291118,406.41,0.2809
15_CatBoost,CatBoost,logloss,0.6173265132767828,99.51,0.3408
19_RandomForest,Random Forest,logloss,0.6166543164824378,27.14,0.3325
23_NeuralNetwork,Neural Network,logloss,2.2894647835051827,9.04,0.3891
12_LightGBM,LightGBM,logloss,0.6634887876241369,5.66,0.2851
8_Xgboost,Xgboost,logloss,0.6300692394115898,409.3,0.2822
16_CatBoost,CatBoost,logloss,0.6295937570875182,99.23,0.3626
20_RandomForest,Random Forest,logloss,0.6157115709248783,22.55,0.3197
24_NeuralNetwork,Neural Network,logloss,0.8935682343203221,9.77,0.3886
13_LightGBM,LightGBM,logloss,0.6358935091237686,6.07,0.2787
9_Xgboost,Xgboost,logloss,0.6318359437810127,404.38,0.2839
17_CatBoost,CatBoost,logloss,0.6068545678154038,67.95,0.348
21_RandomForest,Random Forest,logloss,0.6227544794612045,25.19,0.3309
25_NeuralNetwork,Neural Network,logloss,1.8051440384202684,10.13,0.3891
14_LightGBM,LightGBM,logloss,0.6316863850264364,7.14,0.2783
10_Xgboost,Xgboost,logloss,0.6931471824645996,408.67,0.2915
17_CatBoost_RandomFeature,CatBoost,logloss,0.6400508356238238,61.36,0.3448
17_CatBoost_SelectedFeatures,CatBoost,logloss,0.5866641970515605,3.38,0.0198
20_RandomForest_SelectedFeatures,Random Forest,logloss,0.5944762769797223,4.78,0.0399
2_Default_LightGBM_SelectedFeatures,LightGBM,logloss,0.6155666952506563,3.19,0.0174
24_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.7997045691439444,3.77,0.0271
26_CatBoost_SelectedFeatures,CatBoost,logloss,0.591951210809801,3.51,0.0202
27_CatBoost_SelectedFeatures,CatBoost,logloss,0.6081598701007737,3.79,0.0201
28_RandomForest_SelectedFeatures,Random Forest,logloss,0.5922734069530705,5.0,0.0392
29_CatBoost,CatBoost,logloss,0.6186064229575923,52.27,0.3502
30_Xgboost,Xgboost,logloss,0.6251188631840917,405.85,0.2858
31_LightGBM_SelectedFeatures,LightGBM,logloss,0.6073251257568715,3.62,0.0196
32_LightGBM_SelectedFeatures,LightGBM,logloss,0.6106726335436459,3.64,0.0173
33_RandomForest,Random Forest,logloss,0.6183112325671882,23.64,0.3236
34_LightGBM,LightGBM,logloss,0.6307049794948172,7.85,0.2778
35_LightGBM,LightGBM,logloss,0.6316863850264364,7.95,0.2812
36_Xgboost,Xgboost,logloss,0.6228133472072523,404.59,0.2839
Ensemble,Ensemble,logloss,0.5764739466393701,0.88,0.4025
